Driver_ID,Name,Signup_Date,Total_Rides
1,Driver_1,2022-08-18,405
2,Driver_2,2022-10-03,89
3,Driver_3,2022-08-17,170
4,Driver_4,2023-04-17,168
5,Driver_5,2023-06-08,153
6,Driver_6,2023-05-11,443
7,Driver_7,2023-04-29,379
8,Driver_8,2023-02-10,486
9,Driver_9,2022-09-04,164
10,Driver_10,2023-05-25,335
11,Driver_11,2022-11-14,427
12,Driver_12,2023-03-28,496
13,Driver_13,2023-07-18,208
14,Driver_14,2022-11-19,429
15,Driver_15,2023-03-09,81
16,Driver_16,2022-09-05,318
17,Driver_17,2022-09-16,341
18,Driver_18,2022-09-19,248
19,Driver_19,2023-01-21,294
20,Driver_20,2023-07-22,485
21,Driver_21,2022-09-30,477
22,Driver_22,2023-02-03,129
23,Driver_23,2022-08-15,188
24,Driver_24,2022-11-18,283
25,Driver_25,2022-08-29,350
26,Driver_26,2023-04-30,165
27,Driver_27,2023-04-18,322
28,Driver_28,2022-08-15,78
29,Driver_29,2023-05-02,96
30,Driver_30,2022-09-07,261
31,Driver_31,2023-07-04,58
32,Driver_32,2023-07-04,108
33,Driver_33,2023-05-12,461
34,Driver_34,2022-12-23,231
35,Driver_35,2023-03-02,488
36,Driver_36,2023-02-19,476
37,Driver_37,2022-09-19,99
38,Driver_38,2023-02-27,180
39,Driver_39,2023-05-10,223
40,Driver_40,2023-04-01,110
41,Driver_41,2023-07-13,151
42,Driver_42,2023-02-10,269
43,Driver_43,2023-01-26,77
44,Driver_44,2023-07-18,132
45,Driver_45,2023-04-15,330
46,Driver_46,2022-08-27,468
47,Driver_47,2022-11-16,244
48,Driver_48,2022-08-30,78
49,Driver_49,2022-08-22,187
50,Driver_50,2023-06-23,363
51,Driver_51,2022-09-25,252
52,Driver_52,2022-10-07,386
53,Driver_53,2023-02-11,269
54,Driver_54,2023-07-25,167
55,Driver_55,2022-11-20,96
56,Driver_56,2022-09-01,194
57,Driver_57,2022-10-17,277
58,Driver_58,2022-10-18,235
59,Driver_59,2023-07-10,304
60,Driver_60,2023-01-18,260
61,Driver_61,2023-08-07,212
62,Driver_62,2023-02-12,359
63,Driver_63,2022-11-10,276
64,Driver_64,2022-09-14,87
65,Driver_65,2023-06-14,190
66,Driver_66,2023-05-02,302
67,Driver_67,2023-01-21,482
68,Driver_68,2023-04-01,185
69,Driver_69,2023-04-04,227
70,Driver_70,2022-09-13,100
71,Driver_71,2022-12-16,71
72,Driver_72,2023-03-16,308
73,Driver_73,2023-02-25,394
74,Driver_74,2023-08-08,329
75,Driver_75,2023-06-27,487
76,Driver_76,2023-07-14,231
77,Driver_77,2023-01-25,337
78,Driver_78,2023-06-15,393
79,Driver_79,2023-01-08,396
80,Driver_80,2022-09-09,297
81,Driver_81,2023-06-11,479
82,Driver_82,2022-10-14,356
83,Driver_83,2022-10-11,350
84,Driver_84,2023-02-15,145
85,Driver_85,2023-06-28,146
86,Driver_86,2022-09-03,333
87,Driver_87,2022-09-09,436
88,Driver_88,2023-06-23,467
89,Driver_89,2023-03-18,76
90,Driver_90,2022-12-12,256
91,Driver_91,2023-05-18,217
92,Driver_92,2023-01-02,489
93,Driver_93,2023-03-12,182
94,Driver_94,2023-03-08,247
95,Driver_95,2023-01-26,99
96,Driver_96,2022-10-24,246
97,Driver_97,2023-04-23,129
98,Driver_98,2023-07-25,109
99,Driver_99,2022-12-23,101
100,Driver_100,2023-07-17,128
