Ride_ID,Driver_ID,Date,Distance_km,Earnings,Tips,Rating
1,5,2023-03-27,38.07,70.45,11.95,4.7
2,91,2023-05-26,10.59,28.64,1.75,4.6
3,85,2023-03-02,7.16,17.05,1.47,4.5
4,20,2023-07-18,36.0,96.29,14.45,3.1
5,78,2023-05-09,18.32,51.06,12.07,3.1
6,36,2023-04-30,24.06,69.16,12.0,3.2
7,78,2023-02-14,46.86,98.27,9.68,3.0
8,7,2023-02-15,48.0,114.23,8.19,3.3
9,73,2023-05-23,44.37,117.46,20.05,4.9
10,43,2023-08-10,46.19,70.92,5.43,3.4
11,87,2023-04-08,27.76,57.42,7.84,4.8
12,75,2023-06-27,27.68,81.04,7.57,3.0
13,51,2023-05-26,11.79,28.34,3.75,4.9
14,26,2023-07-08,13.66,19.17,3.2,4.1
15,70,2023-07-06,19.98,31.83,3.26,4.6
16,66,2023-07-30,32.18,48.93,7.66,3.9
17,51,2023-06-27,29.49,73.29,13.1,4.0
18,8,2023-05-11,1.64,4.19,0.56,4.6
19,93,2023-02-22,4.02,8.76,1.3,3.2
20,56,2023-07-11,24.2,71.0,16.86,3.1
21,36,2023-07-18,2.49,3.6,0.51,3.9
22,87,2023-05-31,28.65,46.37,9.47,3.8
23,43,2023-03-27,21.5,54.47,8.5,4.8
24,99,2023-04-12,1.57,3.08,0.75,4.9
25,10,2023-02-25,7.51,22.14,5.48,3.8
26,74,2023-03-11,33.42,52.95,11.44,3.4
27,15,2023-07-12,19.57,33.16,2.86,4.0
28,26,2023-02-24,45.44,95.21,5.65,3.6
29,98,2023-04-15,48.18,63.59,14.91,3.4
30,14,2023-05-18,16.93,37.96,4.13,4.6
31,18,2023-02-14,49.59,57.02,13.63,4.1
32,72,2023-05-07,16.36,32.67,2.41,4.3
33,27,2023-07-26,5.96,17.84,2.26,3.2
34,29,2023-02-13,14.58,36.43,3.56,3.2
35,36,2023-06-26,44.01,66.58,11.58,4.2
36,77,2023-04-06,20.34,24.53,2.67,3.9
37,64,2023-07-20,33.54,39.28,6.49,3.4
38,39,2023-06-13,46.82,49.85,3.94,4.6
39,14,2023-02-12,33.62,62.36,6.43,4.0
40,40,2023-05-26,19.08,25.49,2.56,3.4
41,6,2023-07-02,22.46,47.42,5.39,3.4
42,54,2023-07-10,30.53,70.19,4.21,4.1
43,45,2023-08-10,25.45,67.47,15.71,4.8
44,71,2023-07-12,40.67,105.44,21.74,3.1
45,85,2023-04-24,45.23,81.86,8.98,4.5
46,64,2023-06-17,47.41,65.88,8.84,3.9
47,2,2023-04-29,2.16,4.27,0.8,4.7
48,87,2023-04-17,43.47,70.69,12.72,3.4
49,27,2023-08-02,16.32,29.13,3.51,4.8
50,46,2023-02-27,39.43,100.62,21.33,3.8
51,23,2023-03-26,1.35,1.38,0.29,3.3
52,21,2023-05-31,26.62,32.84,3.18,4.8
53,56,2023-05-26,13.36,28.28,4.79,4.5
54,42,2023-05-15,36.63,80.54,6.63,3.2
55,12,2023-04-24,18.13,31.53,2.42,4.4
56,24,2023-02-23,45.84,72.95,13.5,3.3
57,67,2023-05-30,5.2,12.43,2.57,4.8
58,12,2023-04-18,14.05,18.26,2.43,3.9
59,53,2023-06-19,23.52,66.09,13.98,4.0
60,77,2023-07-26,10.42,27.2,4.33,3.9
61,4,2023-04-15,6.74,14.07,1.42,4.1
62,62,2023-07-23,15.73,17.5,3.2,3.1
63,39,2023-04-15,5.19,6.08,1.01,4.7
64,42,2023-03-31,48.77,141.19,12.63,3.8
65,7,2023-04-02,43.23,54.07,10.15,3.8
66,68,2023-05-18,35.8,69.28,14.27,4.0
67,40,2023-03-23,11.73,33.09,7.44,3.9
68,33,2023-07-08,28.12,71.12,17.71,4.7
69,54,2023-06-06,9.79,18.71,1.24,4.4
70,99,2023-07-20,16.54,46.17,9.98,4.5
71,73,2023-03-29,42.78,81.86,19.04,3.6
72,62,2023-03-08,12.65,37.13,2.08,3.7
73,91,2023-05-05,30.83,34.05,3.09,3.3
74,72,2023-02-28,5.51,7.41,1.51,4.9
75,34,2023-07-15,18.06,38.27,3.14,4.3
76,91,2023-04-01,33.58,65.0,12.79,3.2
77,38,2023-06-18,26.35,70.1,16.62,3.0
78,77,2023-05-18,14.21,20.28,2.9,3.9
79,37,2023-02-19,19.6,27.36,4.8,3.1
80,35,2023-03-19,15.08,17.68,3.45,3.7
81,88,2023-04-12,10.76,21.38,3.73,3.8
82,96,2023-04-16,48.63,64.48,6.85,3.6
83,36,2023-08-09,32.57,65.44,8.11,3.9
84,64,2023-06-07,6.81,18.2,0.96,4.9
85,62,2023-04-04,3.9,10.16,2.26,4.7
86,57,2023-03-09,27.71,51.65,7.85,3.9
87,37,2023-06-13,36.94,50.28,9.39,4.9
88,85,2023-05-21,15.39,29.94,5.27,4.8
89,28,2023-03-09,34.84,42.95,3.63,3.0
90,45,2023-07-17,31.99,45.18,3.04,4.2
91,54,2023-05-25,14.52,21.34,3.21,4.2
92,100,2023-03-31,44.77,116.62,18.1,3.7
93,55,2023-07-22,26.86,44.13,4.62,3.9
94,74,2023-02-17,40.88,73.41,16.02,4.0
95,19,2023-02-24,24.56,51.97,3.05,4.0
96,98,2023-07-30,9.74,27.82,1.95,4.9
97,44,2023-05-05,45.01,74.9,13.75,3.7
98,43,2023-05-24,29.07,72.06,6.8,5.0
99,9,2023-02-12,35.0,50.4,6.76,4.7
100,60,2023-06-30,8.61,18.67,4.03,3.4
101,33,2023-03-02,11.96,16.34,1.17,4.9
102,15,2023-04-27,31.09,87.23,21.31,4.2
103,85,2023-06-24,48.29,86.73,14.53,4.7
104,36,2023-05-07,49.49,109.26,17.33,3.5
105,23,2023-02-25,23.65,60.29,4.92,3.3
106,41,2023-05-23,48.58,93.05,12.27,4.2
107,40,2023-04-12,44.85,64.46,10.71,3.7
108,80,2023-07-18,36.95,58.81,13.71,4.4
109,60,2023-04-15,9.34,18.66,1.61,4.0
110,62,2023-07-20,20.59,52.11,4.0,3.0
111,55,2023-03-22,40.03,69.2,3.57,3.1
112,33,2023-07-16,10.92,16.42,2.58,3.7
113,94,2023-07-17,5.17,10.79,1.3,4.9
114,50,2023-04-16,33.41,78.6,14.71,5.0
115,95,2023-02-13,36.31,108.06,19.15,4.9
